GRIDCODE	CVENTMUN	Fpav
700059	02005	0.078347614
700071	02001	0.197267658
700072	02001	0.126529706
701118	02005	0.082361038
701130	02001	0.154176353
701131	02001	0.171782684
702177	02005	0.078716414
702189	02001	0.251067256
703235	02005	0.032964691
703236	02005	0.033333487
703248	02001	0.099176344
703248	02003	0.006236365
703248	02004	0.007992352
704293	02005	0.034355663
704294	02005	0.084988064
704307	02003	0.020113494
704307	02004	0.011448805
705350	02005	0.031557895
705351	02005	0.087395446
705352	02005	0.049680884
705365	02003	0.027804427
705366	02003	0.01949445
706409	02005	0.081491318
706424	02003	0.043062291
707468	02005	0.074401876
707481	02003	0.021633817
707481	02004	0.000516456
707482	02003	0.043216551
707483	02003	0.060322883
707484	02003	0.025690163
708526	02005	0.00668828
708527	02005	0.032744464
708540	02003	0.007569002
708541	02003	0.033811479
709585	02005	0.050407425
709586	02005	0.030663143
709600	02003	0.04196314
710644	02005	0.064410817
710645	02005	0.04539234
710659	02003	0.025217515
710660	02003	0.015711774
711703	02004	0.03262471
711703	02005	0.004759334
711704	02004	0.014375074
711704	02005	0.015339808
711705	02004	0.022209272
711709	02004	0.020145075
711710	02004	0.018385775
711711	02004	0.016552027
711719	02003	0.047211336
712761	02004	0.027717541
712762	02004	0.009899216
712764	02004	0.031386431
712767	02004	0.019655785
712768	02004	0.003450858
712770	02004	0.001885812
712771	02004	0.01838364
712772	02004	0.018302632
712773	02004	0.022059945
712774	02004	0.009703356
712778	02003	0.053812621
713820	02004	0.03509977
713823	02004	0.031623126
713824	02004	0.007557614
713825	02004	0.007602666
713826	02004	0.013765274
713833	02004	0.022946531
713834	02004	0.001335077
713836	02003	0.050929938
713837	02003	0.001626885
714879	02004	0.040965691
714880	02004	0.000711487
714881	02004	0.010932293
714882	02004	0.061513386
714883	02004	0.021412514
714884	02004	0.01971034
714890	02004	0.004022913
714891	02004	0.047948552
714892	02004	0.035203476
714893	02003	0.088395959
714893	02004	0.006181463
714894	02003	0.073686648
714895	02003	0.071499245
714897	02003	0.02789634
714898	02003	0.037787261
714899	02003	0.0175185
715938	02004	0.003203084
715939	02004	0.064009521
715940	02004	0.027797605
715941	02004	0.018970116
715942	02004	0.01765612
715943	02004	0.016811861
715944	02004	0.017288495
715945	02004	0.017322807
715946	02004	0.028122266
715947	02004	0.038342407
715948	02004	0.043211264
715949	02004	0.032037518
715954	02003	0.062497382
715955	02003	0.040025251
715956	02003	0.010563506
715958	02003	0.024701777
