GRIDCODE	CVENTMUN	Fter
700059	02005	0.078347614
700071	02001	0.197267658
700072	02001	0.126529706
701118	02005	0.082361038
701130	02001	0.154176353
701131	02001	0.171782684
702177	02005	0.078716414
702189	02001	0.251067256
703235	02005	0.032964691
703236	02005	0.033333487
703248	02001	0.099176344
703248	02003	0.006130037
703248	02004	0.007726232
704293	02005	0.034355663
704294	02005	0.084988064
704307	02003	0.019770565
704307	02004	0.011067595
705350	02005	0.031557895
705351	02005	0.087395446
705352	02005	0.049680884
705365	02003	0.02733037
705366	02003	0.019162076
706409	02005	0.081491318
706424	02003	0.042328092
707468	02005	0.074401876
707481	02003	0.021264967
707481	02004	0.00049926
707482	02003	0.042479721
707483	02003	0.059294396
707484	02003	0.025252154
708526	02005	0.00668828
708527	02005	0.032744464
708540	02003	0.007439953
708541	02003	0.033235003
709585	02005	0.050407425
709586	02005	0.030663143
709596	02004	0.009906538
709600	02003	0.04124768
710644	02005	0.064410817
710645	02005	0.04539234
710654	02004	0.002503122
710655	02004	0.006823367
710659	02003	0.024787564
710660	02003	0.015443893
711703	02004	0.031538409
711703	02005	0.004759334
711704	02004	0.013896429
711704	02005	0.015339808
711705	02004	0.021469773
711709	02004	0.019474307
711710	02004	0.017773586
711711	02004	0.016000896
711713	02004	0.009488075
711719	02003	0.046406396
712761	02004	0.026794633
712762	02004	0.009569603
712764	02004	0.03034136
712767	02004	0.019001309
712768	02004	0.003335956
712770	02004	0.001823021
712771	02004	0.017771522
712772	02004	0.022268991
712773	02004	0.021325418
712774	02004	0.009380264
712778	02003	0.052895132
713820	02004	0.033931057
713823	02004	0.030570174
713824	02004	0.007305969
713825	02004	0.007349521
713826	02004	0.013306933
713833	02004	0.022182483
713834	02004	0.001290623
713836	02003	0.050061597
713837	02003	0.001599147
714879	02004	0.039601662
714880	02004	0.000687797
714881	02004	0.010568282
714882	02004	0.059465182
714883	02004	0.020699544
714884	02004	0.019054047
714890	02004	0.003888962
714891	02004	0.046352014
714892	02004	0.03403131
714893	02003	0.086888833
714893	02004	0.00597564
714894	02003	0.076733176
714895	02003	0.083027048
714897	02003	0.027420715
714898	02003	0.037142999
714899	02003	0.017219814
715938	02004	0.003096431
715939	02004	0.061878204
715940	02004	0.026872031
715941	02004	0.01833847
715942	02004	0.017068227
715943	02004	0.016252078
715944	02004	0.016712842
715945	02004	0.016746012
715946	02004	0.027185882
715947	02004	0.037065725
715948	02004	0.041772463
715949	02004	0.030970768
715954	02003	0.06143182
715955	02003	0.039342832
715956	02003	0.010383401
715958	02003	0.024280618
