GRIDCODE	CVE_ENTCVE_MUN		Area VEGxCELDA
708528	2005	0.074058706	8988543.876
708529	2005	0.055339627	6716599.488
708530	2005	0.008529273	1035202.32
709585	2005	0.007605208	923048.0409
709586	2005	0.013321946	1616891.51
709587	2005	0.049078998	5956743.642
709588	2005	0.026428609	3207654.151
709589	2005	0.010487335	1272853.352
710644	2005	0.008866959	1076187.484
710645	2005	0.020244517	2457087.562
710646	2005	0.060811745	7380753.255
710647	2005	0.01566197	1900901.49
711703	2005	0.001859658	225707.6493
711704	2005	0.016313251	1979947.785
711705	2005	0.001974449	239639.8609
