GRIDCODE	CVE_ENTCVE_MUN	fbosque
700062	2001	4.04773E-07
700063	2001	4.43377E-05
700064	2001	0.0001176
700065	2001	0.000167625
700066	2001	0.000170944
700067	2001	0.000177569
700068	2001	0.000177569
700069	2001	0.000177569
700070	2001	0.000177569
700071	2001	0.000175531
700072	2001	0.000170385
700073	2001	0.000177569
701124	2001	1.19978E-07
701125	2001	4.25875E-05
701126	2001	0.000157448
701127	2001	0.000177569
701128	2001	0.000177569
701129	2001	0.000177569
701130	2001	0.000139189
701131	2001	9.88858E-05
701132	2001	0.000174029
702185	2001	2.46929E-06
702186	2001	5.57203E-05
702187	2001	0.000125297
702188	2001	9.69095E-05
702189	2001	5.69185E-06
702190	2001	0.000151077
702191	2001	7.4808E-05
703248	2001	4.0234E-05
703249	2001	3.12057E-05
703250	2001	3.76001E-06
702191	2003	1.5023E-05
703248	2003	0.002116385
703249	2003	0.002868263
703250	2003	0.003168612
704307	2003	0.002321683
704308	2003	0.003479797
704309	2003	0.003479797
705364	2003	0.001771729
705365	2003	0.002962618
705366	2003	0.003338774
705367	2003	0.003479797
705368	2003	0.003479797
706422	2003	9.88073E-07
706423	2003	0.001733827
706424	2003	0.003479797
706425	2003	0.003479797
706426	2003	0.003479797
706427	2003	0.003479797
707482	2003	0.002812307
707483	2003	0.003479797
707484	2003	0.003479797
707485	2003	0.003479797
707486	2003	0.003479797
708540	2003	8.03607E-05
708541	2003	0.003339364
708542	2003	0.002185622
708543	2003	0.001997489
708544	2003	0.003479797
708545	2003	0.003479797
709598	2003	5.96065E-05
709599	2003	0.002368757
709600	2003	0.003479797
709601	2003	0.002505619
709602	2003	0.000833793
709603	2003	0.003479797
709604	2003	0.003479797
710657	2003	0.001036709
710658	2003	0.003313619
710659	2003	0.003479797
710660	2003	0.003479797
710661	2003	0.003479714
710662	2003	0.003479797
710663	2003	0.003479797
711716	2003	0.002435903
711717	2003	0.003479797
711718	2003	0.003479797
711719	2003	0.003452389
711720	2003	0.003479797
711721	2003	0.003479797
711722	2003	0.003479797
712774	2003	1.91059E-05
712775	2003	0.002620292
712776	2003	0.003479797
712777	2003	0.002671736
712778	2003	0.000419372
712779	2003	0.002642403
712780	2003	0.003479797
712781	2003	0.003479797
713833	2003	0.000234009
713834	2003	0.003430712
713835	2003	0.003479797
713836	2003	0.003242982
713837	2003	0.002429152
713838	2003	0.003337212
713839	2003	0.003479797
713840	2003	0.003479797
714893	2003	0.00287052
714894	2003	0.003448959
714895	2003	0.003212806
714896	2003	0.003042512
714897	2003	0.002892434
714898	2003	0.001790522
714899	2003	0.002412126
715952	2003	0.001825236
715953	2003	0.001450833
715954	2003	8.97437E-05
715955	2003	0.000485924
715956	2003	0.001421491
715957	2003	0.001518695
701124	2004	0.000134984
701125	2004	0.004327759
701126	2004	0.001212362
702182	2004	1.28108E-05
702183	2004	0.006388975
702184	2004	0.010699519
702185	2004	0.01055073
702186	2004	0.007342056
702187	2004	0.002653827
703241	2004	0.005289373
703242	2004	0.010699519
703243	2004	0.010699519
703244	2004	0.010699519
703245	2004	0.010699519
703246	2004	0.004496101
703247	2004	0.005994392
703248	2004	0.000193186
704299	2004	0.00419826
