GRIDCODE, CVENTMUN, Fterra
709596,02004,0.297521503,3562.025005
710654,02004,0.075175864,900.0301032
710655,02004,0.204925103,2453.430542
711713,02004,0.284953857,3411.561025
712772,02004,0.137423674,1645.28129
